Age,Gender,Weight (kg),Height (m),Workout_Type,Session_Duration (hours),Max_BPM,Avg_BPM,Resting_BPM,Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
36,Male,123.7,1.69,Cardio,1.3,185,138,73,987,20.4,2.1,4,2,43.31
21,Female,61.3,1.57,HIIT,1.94,191,152,64,1474,17.2,2.7,4,3,24.87
52,Male,72.3,1.94,Yoga,1.46,171,121,56,874,21.1,2.9,3,2,19.21
34,Female,69.2,1.53,HIIT,1.36,167,134,59,911,28.5,2.1,2,1,29.56
45,Male,81.4,1.61,Cardio,1.14,164,141,55,796,30,2.2,4,2,31.4
47,Male,84.8,1.86,HIIT,1.85,187,129,63,1181,14.4,3.5,5,3,24.51
46,Male,55.1,1.72,Yoga,1.43,164,137,66,970,20.5,3.6,3,2,18.62
23,Female,59,1.78,Yoga,1.67,185,141,58,1177,17.8,2.7,5,3,18.62
52,Female,64.9,1.51,HIIT,1.83,164,165,68,1359,18.2,2.7,4,3,28.46
58,Male,109.7,1.75,HIIT,1.01,181,168,54,840,22.1,2.7,2,1,35.82
54,Male,78.4,1.9,Yoga,0.81,174,146,72,585,21.5,3.7,2,1,21.72
41,Female,76.7,1.79,Yoga,1.4,172,132,56,832,34,2,4,2,23.94
46,Female,63.1,1.61,Strength,1,187,152,68,684,34.7,2.2,4,2,24.34
48,Female,62.9,1.58,Strength,1.98,192,124,69,1105,20,2.7,4,3,25.2
52,Male,85.6,1.74,Yoga,1.84,182,145,56,1321,13.9,3.5,4,3,28.27
50,Female,66.3,1.57,HIIT,1.25,192,132,73,742,31.6,1.6,2,1,26.9
38,Male,61.3,1.97,Cardio,1.37,177,146,51,1100,23.5,2.8,3,1,15.8
49,Female,44.1,1.65,HIIT,1.16,189,133,74,694,26.7,1.8,4,2,16.2
40,Male,63.8,1.62,HIIT,1.3,185,143,72,1022,20.8,3.4,2,1,24.31
50,Female,55.4,1.55,Strength,1.85,175,122,65,1016,18.5,2.7,4,3,23.06
20,Female,74.7,1.58,Strength,1.04,172,166,62,863,32.8,2.4,3,2,29.92
35,Female,78,1.67,Strength,1.13,198,168,57,949,33.3,2.5,4,2,27.97
42,Female,57.5,1.67,Yoga,1.14,192,149,55,764,34.1,2.4,2,1,20.62
59,Female,60.7,1.73,Yoga,1.03,185,154,55,714,33.8,2.5,3,2,20.28
48,Male,69,1.74,HIIT,1.48,160,167,58,1223,30,2.3,3,2,22.79
20,Female,75.8,1.78,HIIT,1.42,197,133,53,944,27.4,2,4,2,23.92
57,Female,75.7,1.63,Cardio,0.69,161,131,60,407,32.6,2.3,3,1,28.49
41,Female,71.2,1.64,HIIT,1.42,165,147,54,939,30.9,2.3,3,2,26.47
49,Male,85,1.68,HIIT,1.82,197,163,74,1468,11.3,3.5,4,3,30.12
39,Female,63.6,1.56,Strength,1.22,183,148,66,903,34.8,2.4,2,1,26.13
40,Male,73.2,1.94,Strength,0.81,177,162,69,722,29,2.4,2,1,19.45
19,Female,48.3,1.52,Strength,0.96,186,136,56,653,26.3,1.6,2,1,20.91
44,Female,42.8,1.78,Strength,1.49,167,159,64,1066,25.3,2.6,3,2,13.51
59,Male,88.1,1.76,Strength,1.35,187,168,74,1123,26.9,3,3,2,28.44
19,Female,72.4,1.75,Cardio,1.2,169,140,64,840,31,1.7,4,2,23.64
43,Male,73.2,1.88,Cardio,1.17,176,142,63,822,29.4,3.3,3,1,20.71
34,Male,110.5,1.86,Cardio,1.42,188,139,62,1086,22.3,3.6,2,1,31.94
57,Female,46.1,1.76,Strength,1.44,165,130,60,842,25.8,1.7,3,2,14.88
50,Male,90.8,1.71,Yoga,1.07,173,153,62,810,22.6,3.4,4,2,31.05
26,Female,59.3,1.51,Strength,1.7,181,129,71,1096,15.1,2.7,5,3,26.01
56,Female,45.1,1.73,Strength,0.83,165,129,73,482,25.4,2.6,3,1,15.07
46,Male,45,1.77,Cardio,1.48,185,162,58,1187,29.1,3.6,3,2,14.36
59,Male,89.4,1.62,Strength,1.43,198,125,59,885,23.5,3.6,3,2,34.06
43,Male,127.7,1.69,Cardio,1.14,171,155,53,875,24.1,2.9,3,2,44.71
52,Male,70.9,1.72,Strength,1.31,194,143,66,927,20.2,2.6,3,2,23.97
42,Female,49.2,1.5,HIIT,1.15,173,131,63,678,27.7,1.5,3,2,21.87
41,Female,62.3,1.79,Yoga,1.99,181,162,73,1451,19,2.7,5,3,19.44
30,Male,64.1,1.87,Yoga,0.64,182,142,67,500,26.2,2.1,2,1,18.33
24,Female,69.7,1.75,Cardio,1.41,166,146,60,1029,32.5,2,3,1,22.76
53,Female,56.9,1.59,HIIT,1.49,199,164,65,1100,29.5,2,3,2,22.51
37,Female,53,1.71,Yoga,1.13,184,156,50,881,28.1,1.7,4,2,18.13
18,Female,72.7,1.55,Cardio,0.84,172,125,56,525,29.8,2,3,1,30.26
25,Male,76.5,1.96,Strength,0.67,180,120,59,442,23.2,2.3,3,1,19.91
33,Male,113.6,1.99,Strength,1.38,169,125,58,949,28.4,3.4,2,1,28.69
31,Female,62.5,1.62,HIIT,1.56,168,169,74,1318,16.5,2.7,4,3,23.81
29,Male,95.2,1.86,Yoga,0.64,174,141,52,496,26.6,2.5,2,1,27.52
40,Male,51.7,1.82,Strength,0.9,161,160,71,792,21.4,3,3,1,15.61
32,Male,105.3,1.67,Cardio,0.57,184,143,72,448,26.9,2.9,3,1,37.76
45,Female,71.2,1.68,Strength,1.37,172,144,63,888,34.1,1.6,3,1,25.23
51,Female,78.1,1.51,Strength,0.92,193,134,74,555,31.1,2.6,3,1,34.25
19,Female,50.6,1.68,Yoga,1.21,193,145,64,877,30.6,2.1,3,2,17.93
49,Male,70.2,1.89,Yoga,0.7,194,127,51,440,29.6,2.6,3,1,19.65
40,Female,62.6,1.53,Cardio,1.93,197,143,73,1380,18.1,2.7,5,3,26.74
39,Female,60.6,1.65,HIIT,0.92,162,167,63,768,27.6,1.7,3,1,22.26
42,Male,76.4,1.97,HIIT,1.14,165,157,65,886,22.9,2.6,3,2,19.69
39,Female,63.3,1.71,Strength,1.88,178,125,56,1175,18.5,2.7,4,3,21.65
39,Female,68.6,1.64,Cardio,1.33,162,154,53,1024,32.4,1.5,3,2,25.51
59,Male,123.3,1.88,HIIT,1.3,177,161,67,1036,23,2.6,4,2,34.89
23,Male,107,1.94,HIIT,1.35,198,120,73,891,23.5,2.9,2,1,28.43
32,Male,68.3,1.92,Strength,1.42,168,165,54,1289,29.9,3.5,2,1,18.53
54,Female,47.8,1.6,Cardio,1.19,171,155,55,830,26,2.3,4,2,18.67
50,Female,58.4,1.79,HIIT,1.6,164,131,56,943,17,2.7,4,3,18.23
25,Female,74.3,1.71,Yoga,1.43,162,157,64,1123,25.6,1.6,3,2,25.41
22,Male,106.8,1.82,Yoga,1,170,130,50,715,28.2,2.3,4,2,32.24
56,Male,125.5,1.8,Strength,1.26,189,131,73,817,20.9,2.7,4,2,38.73
21,Female,55.2,1.55,Strength,1.37,163,161,53,1103,31.7,1.7,4,2,22.98
23,Female,71.4,1.72,Strength,1.25,164,169,74,1056,25.6,1.5,2,1,24.13
49,Male,77.7,1.61,Strength,1.03,160,158,50,806,26.7,3.4,3,2,29.98
47,Male,88.4,1.6,HIIT,1.86,186,126,60,1160,14.2,3.5,5,3,34.53
52,Male,104.8,1.99,Cardio,0.93,187,130,67,598,24,2,2,1,26.46
57,Male,82.2,1.69,Strength,1.15,188,155,63,882,25.2,3.4,4,2,28.78
33,Female,68.2,1.75,Strength,0.85,177,150,71,638,29,1.7,2,1,22.27
30,Male,91.4,1.99,HIIT,1.37,171,152,60,1145,23,3.7,3,2,23.08
59,Female,42.1,1.65,Strength,1.22,172,132,59,725,33,2.2,2,1,15.46
47,Female,68.7,1.76,Strength,1.37,161,137,66,845,27.7,2.4,3,2,22.18
36,Female,47.2,1.74,Cardio,1.5,196,160,53,1200,32.2,1.6,4,2,15.59
34,Male,92,1.76,Yoga,0.73,175,143,73,574,22.1,3.5,3,1,29.7
36,Male,56.2,1.95,Strength,1.09,183,128,64,767,22.5,3.4,4,2,14.78
45,Male,58.4,1.72,HIIT,1.31,194,150,65,973,23.4,3.1,4,2,19.74
43,Male,82.9,1.95,Cardio,1.9,181,160,70,1505,12.9,3.5,5,3,21.8
54,Female,66.9,1.74,HIIT,1.24,195,129,62,720,29.5,2.1,2,1,22.1
43,Male,66.3,1.85,Cardio,1.18,170,121,58,707,27.5,3.2,2,1,19.37
40,Male,93.6,1.93,Cardio,1.38,188,157,60,1192,22.1,2,3,1,25.13
26,Female,64.1,1.5,Strength,1.93,194,134,60,1293,15.1,2.7,5,3,28.49
29,Male,86.7,1.62,Strength,1.52,174,122,55,1020,13.9,3.5,4,3,33.04
18,Female,62,1.59,Strength,1.23,190,162,50,996,33.2,2.2,4,2,24.52
18,Female,58.1,1.61,Yoga,1.9,175,150,71,1425,15.3,2.7,4,3,22.41
51,Female,64.9,1.6,Yoga,1.49,169,125,55,838,31.1,2.5,4,2,25.35
49,Female,69.3,1.62,HIIT,1.14,191,122,62,626,28.8,1.9,4,2,26.41
42,Female,42.7,1.74,Strength,1.04,161,130,71,608,32.9,1.6,3,1,14.1
57,Female,51.4,1.63,Yoga,1.2,183,134,73,724,33.7,2,4,2,19.35
18,Female,67.4,1.6,Strength,0.6,182,164,71,492,33.5,2.4,3,1,26.33
33,Female,55.6,1.61,Yoga,1.77,161,147,54,1301,18.9,2.7,4,3,21.45
56,Male,125.3,1.86,Yoga,1,197,129,64,639,22.7,2.2,3,2,36.22
22,Male,102.1,1.85,Cardio,1.48,190,157,67,1278,28.1,2.4,4,2,29.83
39,Male,61.9,1.77,Strength,1.32,199,166,69,1205,25.3,2.3,3,1,19.76
46,Male,108.8,1.64,Strength,1.4,185,169,63,1171,20.5,3.4,3,1,40.45
20,Female,51.1,1.58,Yoga,0.5,188,169,64,422,29.6,1.6,2,1,20.47
29,Male,81.7,1.99,Strength,1.45,162,126,54,1005,29.4,3.2,2,1,20.63
43,Female,42.7,1.66,Yoga,0.73,173,134,53,440,33.9,1.9,2,1,15.5
33,Male,81.8,1.99,Strength,1.59,184,137,51,1198,10.5,3.5,4,3,20.66
54,Male,54.6,1.76,Cardio,1.28,160,137,56,868,27.4,3.3,4,2,17.63
39,Male,107.7,1.88,Strength,0.72,162,160,59,634,28.1,3.6,2,1,30.47
46,Female,56.9,1.6,Cardio,0.88,185,143,65,566,27.7,1.6,3,1,22.23
31,Male,78.8,1.71,HIIT,1.49,177,121,59,992,24.7,2.5,4,2,26.95
45,Female,48.2,1.64,Strength,1.25,168,159,67,894,32.1,2.5,4,2,17.92
22,Female,50.7,1.59,Strength,1.27,197,139,66,883,29.4,1.8,3,2,20.05
47,Male,86.6,1.99,Strength,1.98,182,153,70,1500,10.6,3.5,4,3,21.87
22,Male,96.3,1.63,Cardio,1.35,180,162,62,1203,27.1,2.4,4,2,36.25
29,Male,80.8,1.98,Strength,1.65,160,145,50,1316,14.6,3.5,5,3,20.61
33,Female,58,1.53,Strength,1.84,180,126,50,1159,18.3,2.7,5,3,24.78
43,Male,95.9,1.85,Yoga,1.28,186,157,64,995,27.7,3.4,2,1,28.02
43,Female,61.5,1.58,HIIT,1.86,165,149,50,1247,16.8,2.7,5,3,24.64
38,Female,40.6,1.79,Cardio,0.62,195,161,55,499,26.8,2.7,2,1,12.67
56,Male,82.5,1.87,Yoga,1.51,187,124,74,927,13.2,3.5,5,3,23.59
53,Male,105.1,1.84,Cardio,0.69,176,130,62,444,23.3,2.9,3,1,31.04
50,Female,58.1,1.58,Yoga,1.93,199,120,50,1042,19.3,2.7,5,3,23.27
47,Female,61,1.76,HIIT,1.54,162,153,54,1060,15.6,2.7,5,3,19.69
54,Female,64.5,1.53,Yoga,1.74,171,120,58,940,17.2,2.7,4,3,27.55
40,Male,58.2,1.98,Cardio,1.43,198,138,74,1085,24,2.5,3,2,14.85
27,Female,69.5,1.76,Strength,0.94,171,121,66,569,34.4,2,3,1,22.44
22,Male,62.2,1.84,Strength,0.51,161,140,65,393,21.5,2.3,3,1,18.37
53,Female,68,1.7,HIIT,1.06,181,139,57,663,25.1,2.4,4,2,23.53
51,Female,56.3,1.5,Cardio,1.43,182,142,66,914,27.4,2.4,3,1,25.02
48,Male,94.5,1.7,Cardio,1.01,189,140,64,700,28.2,3.5,3,2,32.7
27,Female,58,1.79,Cardio,1.39,164,143,73,994,27.1,1.5,2,1,18.1
36,Male,84,1.94,HIIT,1.8,168,123,50,1218,11.2,3.5,5,3,22.32
49,Male,61,1.87,Strength,1.14,180,131,61,739,21.3,3,4,2,17.44
18,Female,64.8,1.53,Yoga,1.98,170,141,54,1396,18.6,2.7,5,3,27.68
22,Male,45.7,1.77,HIIT,1.04,164,139,73,795,20.7,2.4,3,1,14.59
21,Male,80.9,1.9,Yoga,1.8,194,137,55,1356,11.7,3.5,4,3,22.41
33,Female,64.1,1.63,Strength,1.58,186,120,74,948,16.4,2.7,5,3,24.13
41,Male,67,1.77,HIIT,1.22,161,149,50,900,25.6,2.6,3,2,21.39
33,Male,106.5,1.6,Strength,1.4,183,152,74,1170,27.3,3.3,4,2,41.6
19,Male,95.1,1.85,Yoga,1.21,190,143,50,952,25.3,2.3,4,2,27.79
45,Female,65.5,1.57,Cardio,0.66,192,133,59,395,34.3,2.3,2,1,26.57
49,Male,105.7,1.64,Cardio,1.2,198,155,59,921,29.5,3.1,3,2,39.3
44,Female,48,1.76,Yoga,0.88,189,124,52,491,28.6,2.6,2,1,15.5
37,Female,69.5,1.5,Cardio,0.69,196,130,66,448,32.8,2.4,2,1,30.89
41,Male,66.1,1.69,Yoga,0.77,187,143,68,545,27.4,3.4,2,1,23.14
29,Male,68,1.7,HIIT,0.76,190,150,60,627,28.9,2.9,2,1,23.53
52,Male,50.3,1.78,HIIT,0.85,170,132,67,555,24.5,2.3,2,1,15.88
50,Female,69.3,1.68,HIIT,1.2,182,135,51,729,30.3,2,2,1,24.55
50,Male,86.7,1.63,Cardio,1.7,161,143,58,1203,12.1,3.5,4,3,32.63
54,Male,125.9,1.94,Strength,1.35,199,132,73,882,28.5,2.9,3,2,33.45
29,Male,88.1,1.93,Cardio,1.88,186,143,66,1479,11.1,3.5,5,3,23.65
20,Male,124.3,1.82,Cardio,1.25,194,145,63,997,22.4,3.2,3,2,37.53
18,Male,62,1.85,Strength,0.88,161,121,53,586,23.7,3,3,1,18.12
50,Female,69.7,1.72,Strength,1.24,198,135,66,753,27.3,2,4,2,23.56
57,Female,60.9,1.52,Strength,1.31,196,157,66,926,30.6,1.8,3,2,26.36
27,Male,76.5,1.97,Strength,1.13,180,165,61,1025,21.3,2.3,2,1,19.71
46,Male,94.7,1.82,Cardio,1.47,164,120,69,873,23.2,3.2,3,2,28.59
30,Male,67.9,1.75,Yoga,1.25,180,168,67,1155,29.1,3.1,2,1,22.17
29,Male,121.1,1.87,HIIT,1.31,188,130,52,937,24.1,3.2,4,2,34.63
48,Female,71.5,1.64,Yoga,1.46,179,154,60,1012,32.5,1.9,4,2,26.58
19,Male,98.6,1.7,Cardio,0.83,197,162,74,740,21.1,2.4,2,1,34.12
52,Female,68.2,1.63,Strength,1.17,179,148,67,779,27.5,2.4,3,1,25.67
40,Female,57.7,1.69,HIIT,1.18,184,156,53,920,33.1,2.4,4,2,20.2
34,Male,124.6,1.63,HIIT,1.41,161,136,66,1055,27.6,2.8,3,2,46.9
43,Female,73,1.59,Yoga,1.31,191,158,67,931,28.9,2.2,3,1,28.88
25,Female,59.4,1.51,Cardio,1.62,185,161,54,1304,19.8,2.7,5,3,26.05
46,Female,52,1.65,Cardio,0.7,165,147,63,463,34.1,1.9,2,1,19.1
43,Female,42.2,1.65,Cardio,1.33,162,148,59,886,34.6,2.3,3,2,15.5
27,Male,89.3,1.64,HIIT,1.82,192,162,64,1622,12.1,3.5,4,3,33.2
43,Male,110,1.76,Yoga,1.09,160,122,50,658,22,3.4,3,1,35.51
51,Female,66.2,1.58,HIIT,0.86,164,129,65,499,31.3,2.3,3,1,26.52
58,Male,58.6,1.66,HIIT,1.21,172,161,60,964,26.8,2.9,2,1,21.27
24,Male,51,1.67,Strength,0.97,178,133,72,710,21.3,2.8,3,1,18.29
21,Male,101.5,1.95,Yoga,0.97,171,131,69,699,27.9,3.1,3,1,26.69
28,Male,114.2,1.87,Strength,1.05,184,166,55,959,20.2,3.2,3,2,32.66
46,Male,54.4,1.72,Cardio,0.91,194,161,73,725,24.8,2.9,2,1,18.39
53,Female,52.4,1.57,HIIT,1.34,171,149,71,898,28.3,2.2,3,2,21.26
42,Male,85.2,1.81,Yoga,1.54,189,151,65,1151,13.7,3.5,5,3,26.01
38,Male,83.6,1.74,Cardio,1.66,164,151,51,1379,11.6,3.5,5,3,27.61
53,Male,115.4,1.92,Yoga,1.36,193,161,50,1084,28.3,2.2,4,2,31.3
27,Male,71.2,1.97,HIIT,0.74,181,151,73,615,25.9,3.6,3,1,18.35
54,Female,78.1,1.6,Yoga,1.1,198,145,73,718,32.9,2.4,4,2,30.51
26,Female,54.2,1.65,Cardio,1.07,172,120,58,642,34.9,1.9,4,2,19.91
41,Female,77.6,1.76,Strength,1.27,162,161,71,920,31.8,2.2,4,2,25.05
52,Female,44.1,1.62,HIIT,1.41,179,121,61,768,34.8,1.6,3,1,16.8
52,Male,85.5,1.8,Strength,1.7,190,136,66,1144,10.1,3.5,5,3,26.39
53,Female,47.8,1.76,HIIT,1.06,164,149,74,711,28.4,1.5,4,2,15.43
35,Male,102.5,1.94,Cardio,0.84,183,158,64,730,21.1,2.4,2,1,27.23
56,Male,118,1.9,HIIT,0.66,199,126,68,412,22.6,3.2,2,1,32.69
49,Male,82.3,1.84,Strength,1.29,192,146,71,932,28.4,3.4,4,2,24.31
41,Male,81.6,1.87,HIIT,1.87,167,128,59,1185,10.2,3.5,5,3,23.33
40,Male,60.2,1.88,Cardio,1.22,183,141,61,946,25.2,3,3,2,17.03
49,Female,49.2,1.54,HIIT,1.28,179,153,63,881,30.7,2.1,3,2,20.75
54,Female,46.6,1.5,Strength,1.38,175,165,58,1025,30.6,2,2,1,20.71
29,Female,68.7,1.72,Cardio,1.08,171,168,62,907,29.8,1.7,4,2,23.22
30,Female,60.6,1.55,Strength,1.3,172,120,52,780,32.9,1.6,3,2,25.22
40,Male,52.1,1.61,HIIT,0.87,198,128,70,612,21.3,3.3,2,1,20.1
42,Female,46.6,1.77,Yoga,0.61,184,139,63,382,28.1,2.6,2,1,14.87
52,Male,65.5,1.74,Strength,1.48,191,138,70,1011,26.2,2.8,4,2,21.63
58,Female,44.2,1.57,HIIT,1.08,183,155,59,753,31.9,2.3,3,1,17.93
47,Male,89.1,1.84,Yoga,1.44,168,159,65,1133,24,3.6,3,2,26.32
34,Male,65.9,1.62,Yoga,0.81,199,164,56,731,28.8,2.2,2,1,25.11
37,Female,55.6,1.57,Cardio,0.97,182,123,53,597,29.2,2.4,2,1,22.56
42,Male,63.7,1.98,Yoga,1.37,172,128,69,868,24,3,2,1,16.25
39,Male,86.2,1.82,Strength,1.96,191,160,72,1725,10.2,3.5,5,3,26.02
30,Female,59.2,1.63,Strength,1.85,174,141,74,1304,17.8,2.7,4,3,22.28
36,Male,85.4,1.88,Yoga,1.98,195,137,60,1492,13.5,3.5,5,3,24.16
53,Female,68.1,1.55,HIIT,1.41,164,131,65,831,26.1,2.2,4,2,28.35
29,Female,60,1.62,Strength,0.85,181,161,69,684,28.1,1.9,2,1,22.86
58,Female,74.8,1.69,Strength,1.28,175,162,53,933,32.8,2.3,4,2,26.19
36,Male,90.3,1.65,Cardio,1.38,169,158,71,1199,23.7,3.4,4,2,33.17
29,Male,86.1,1.65,HIIT,1.66,183,128,71,1169,11.2,3.5,4,3,31.63
26,Male,73.7,1.66,Yoga,0.93,177,125,72,639,26.7,2.2,2,1,26.75
24,Female,67.7,1.56,HIIT,1.42,177,138,66,980,27,2.1,3,2,27.82
45,Male,78.3,1.96,Cardio,1.29,166,167,62,1066,29,2.2,3,1,20.38
31,Female,48.2,1.65,Cardio,1.1,163,166,60,913,26.1,2.5,2,1,17.7
48,Female,56.8,1.51,HIIT,1.37,185,126,52,777,32.1,2.1,4,2,24.91
36,Male,112.4,1.63,Cardio,1.02,164,135,58,757,25,3.4,4,2,42.3
33,Female,59,1.67,Cardio,0.9,175,124,55,558,33.7,1.9,3,1,21.16
22,Male,98.4,1.88,Cardio,0.52,194,135,71,386,21.3,2.2,2,1,27.84
52,Male,66.5,1.6,HIIT,1.34,185,120,70,796,26.8,2.1,4,2,25.98
29,Male,106.5,1.81,Cardio,1.29,177,156,60,1107,25.7,2.5,4,2,32.51
42,Male,88.4,1.93,Yoga,1.68,188,158,65,1314,12.4,3.5,4,3,23.73
38,Male,88.4,1.79,Yoga,1.74,182,138,68,1321,12.5,3.5,5,3,27.59
53,Female,53.3,1.74,Strength,1.37,173,156,54,962,32.2,1.8,3,2,17.6
40,Female,58.1,1.56,Yoga,0.61,174,136,63,415,34.4,2.2,2,1,23.87
33,Female,74.2,1.76,Strength,1.15,192,145,66,834,25.9,1.5,4,2,23.95
56,Male,84.6,1.63,HIIT,1.01,184,141,52,705,20.2,2.9,4,2,31.84
59,Male,78,1.92,Cardio,0.72,180,127,53,453,28.1,2.7,3,1,21.16
56,Male,89,1.68,Yoga,1.77,176,152,65,1332,10.5,3.5,5,3,31.53
31,Female,42.7,1.76,Strength,1.46,182,121,65,883,34.9,2.2,3,1,13.78
48,Male,83.9,1.82,HIIT,1.9,176,149,70,1401,13.1,3.5,5,3,25.33
22,Female,78.7,1.52,Strength,1.45,173,166,74,1204,31.5,2.3,3,2,34.06
52,Female,65.9,1.52,Cardio,1.27,188,139,53,794,27,2.3,4,2,28.52
40,Male,76.9,1.92,Yoga,1.13,179,137,68,851,22.4,3.7,4,2,20.86
46,Male,84.3,2,HIIT,1.83,189,162,66,1467,13.3,3.5,5,3,21.07
28,Female,62.4,1.6,Strength,1.1,178,129,62,710,34.1,1.7,3,2,24.37
35,Male,63.7,1.74,HIIT,1.03,198,143,71,810,29.8,2.7,4,2,21.04
29,Female,54.9,1.52,Strength,1.48,172,123,72,910,27,2,3,1,23.76
26,Male,76.4,1.79,Strength,1.17,177,156,73,1004,21.3,2.7,3,2,23.84
27,Male,106.4,1.86,Cardio,1.34,182,123,50,907,20.6,3.1,2,1,30.76
34,Female,68.4,1.5,Cardio,1.37,192,132,61,904,33.7,2.1,4,2,30.4
55,Male,63.5,1.86,Strength,1.36,198,144,53,969,22.9,2.9,4,2,18.35
24,Female,59.4,1.5,Yoga,1.25,199,132,60,825,25,2,3,2,26.4
30,Male,113.4,1.91,HIIT,1.27,177,137,54,957,22.2,3.7,3,1,31.08
57,Female,61.9,1.52,HIIT,0.92,168,143,51,592,28.4,2.6,3,1,26.79
59,Female,70.7,1.68,Cardio,1.17,192,121,66,637,34.9,1.9,3,2,25.05
26,Male,111.5,1.9,Yoga,1.02,191,167,57,937,25.2,2.2,2,1,30.89
44,Female,72.1,1.66,Strength,1.4,176,152,55,958,27,2.5,2,1,26.16
19,Male,56.9,1.87,Cardio,0.61,178,138,70,463,23.3,3.7,3,1,16.27
22,Male,86.2,1.9,Strength,1.91,186,128,58,1345,11.7,3.5,5,3,23.88
46,Male,59.4,1.68,Strength,1.16,165,147,62,844,20.2,2.5,4,2,21.05
54,Female,75.6,1.72,Cardio,0.97,194,154,60,672,26.4,1.9,3,1,25.55
55,Female,76.3,1.73,Yoga,1.08,196,158,65,768,32,2.6,3,1,25.49
36,Male,95.8,1.86,HIIT,1.37,193,129,65,972,21.2,3.2,3,1,27.69
25,Male,120.6,1.83,Cardio,1.04,179,120,51,686,22.3,2.5,3,2,36.01
18,Female,65.3,1.55,Yoga,1.42,184,161,59,1143,28.5,2.2,3,2,27.18
39,Male,85.3,1.89,Strength,0.77,163,140,61,593,27.6,3.6,2,1,23.88
34,Male,68,1.68,Cardio,0.67,169,128,57,472,25.8,3.4,2,1,24.09
24,Female,52.6,1.57,HIIT,1.29,169,166,60,1071,31.9,2.4,2,1,21.34
42,Male,63.3,1.77,HIIT,1.32,183,134,59,876,25.7,3.3,3,2,20.2
21,Female,76.3,1.65,Strength,1.14,180,154,62,878,31.8,1.7,3,2,28.03
53,Male,61,1.63,Cardio,0.54,170,124,74,331,20,3.4,3,1,22.96
23,Female,67.8,1.61,HIIT,1.34,186,160,66,1072,34.3,1.8,2,1,26.16
48,Male,114.9,1.86,Cardio,1.36,175,141,56,949,21.1,3.6,3,1,33.21
36,Male,88,1.71,HIIT,1.87,185,160,73,1646,12,3.5,5,3,30.09
56,Female,67.7,1.58,Strength,1.45,189,142,52,927,32.7,1.9,2,1,27.12
44,Male,124.8,1.85,Strength,1.35,175,126,69,842,24.4,3.5,4,2,36.46
27,Female,53,1.58,Cardio,1.26,166,142,62,895,34.5,1.8,4,2,21.23
43,Male,61.2,1.88,Yoga,1.03,175,163,68,831,24.7,2.9,3,1,17.32
36,Female,48.7,1.68,Yoga,1.23,194,144,56,886,33.7,1.6,3,1,17.25
56,Female,50.6,1.7,Strength,1.29,175,146,58,848,33.1,2.3,2,1,17.51
20,Female,72.6,1.73,HIIT,1.27,199,160,68,1016,34.8,2.5,3,2,24.26
30,Female,70.4,1.56,Yoga,1.03,171,125,62,644,34.3,2.4,4,2,28.93
45,Male,52.5,1.88,Strength,1.08,194,153,71,818,29,2.9,4,2,14.85
37,Male,76.3,1.77,HIIT,1.36,180,128,57,957,27.3,2.1,4,2,24.35
45,Female,41.2,1.58,HIIT,1.47,195,168,71,1111,28.7,2.6,2,1,16.5
25,Female,55.3,1.76,Yoga,1.56,176,152,67,1186,15.5,2.7,4,3,17.85
58,Female,49.7,1.67,Strength,1.38,191,125,72,776,31.9,2.3,4,2,17.82
56,Male,48.3,1.87,HIIT,0.68,165,156,51,525,29.8,3.3,3,1,13.81
18,Male,83.2,1.96,HIIT,1.83,183,150,67,1510,13.6,3.5,4,3,21.66
20,Male,120.5,1.73,Cardio,1.01,186,153,67,850,29.3,3.4,3,2,40.26
30,Male,121.6,2,Cardio,1.24,179,160,60,1091,28,3.3,4,2,30.4
45,Female,73,1.75,Yoga,1.14,184,148,50,759,26.6,2,4,2,23.84
42,Female,57.5,1.67,Cardio,1.76,161,133,63,1053,16.2,2.7,5,3,20.62
50,Female,42.7,1.53,Strength,1.41,168,155,65,983,28.4,2.4,4,2,18.24
55,Male,129.9,1.73,Yoga,0.69,187,155,60,529,21.7,3.1,3,1,43.4
23,Male,108.6,1.92,Yoga,0.89,197,134,50,656,25.8,3.5,2,1,29.46
49,Male,88.6,2,Cardio,1.83,162,127,56,1150,14.9,3.5,4,3,22.15
38,Female,49.7,1.51,HIIT,1.25,179,145,65,906,32.6,2.5,3,1,21.8
33,Female,56.4,1.54,Strength,1.06,165,155,63,822,29.2,1.5,3,1,23.78
38,Male,46.9,1.74,Strength,1.03,198,167,64,946,20,2.6,4,2,15.49
28,Female,71.3,1.67,Strength,1.46,192,140,63,1022,28.1,1.5,4,2,25.57
54,Male,71.6,1.86,Yoga,1.14,160,147,70,830,25.3,2.2,3,2,20.7
53,Male,82.3,1.61,Strength,1.87,196,123,60,1139,11.6,3.5,5,3,31.75
52,Female,70.6,1.69,HIIT,1.36,165,135,65,826,26.1,2.2,3,1,24.72
36,Male,109.8,1.62,HIIT,0.84,193,141,68,651,24.4,3.5,3,1,41.84
37,Female,73.5,1.69,Cardio,0.54,174,131,66,354,27.5,1.6,2,1,25.73
35,Male,85.6,1.85,Strength,1.78,185,135,55,1322,14.5,3.5,5,3,25.01
58,Female,74.6,1.68,Yoga,1.03,173,159,60,737,26,2,4,2,26.43
